FID,rgn_id,AREA,Area_acres,PERIMETER,FISHPONDS_,FISHPOND_1,CORIALID,ISLAND,NAME1,NAME2,NAME3,TYPE_,CLASS,SIZE_,SOURCE,OWNERSHIP,WALLCONDIT,HREGSTAT,NATREGSTAT,SUBSURFACE,REF1,REF2,REF3,REF4,REF5,DHMFIELDCH,SEFACTOR1,SEFACTOR2,TMK,WATERQUALI,AQUACULTUR,HIARCHSITE
133,1,327.842,0.081011397,68.446,135,105,H105,Hawaii,nameless,Richardson, ,1,2,0,2,S, , , , , , , , , , , , ,2-1-18:26, , ,?
134,1,7480.917,1.848571995,633.234,136,84,H84,Hawaii,Waihonu, ,BPBM 50-Ha-H22-47,1,2,0,2,S, , , , , , , , , , , , ,2-1-03:1, , ,?
135,1,22632.454,5.592592546,533.341,137,29,H29,Hawaii,nameless concentration,(80 ponds),(counted as one),6,2,0.01,2,P,Fair,N,N, ,Donham-1986,Kikuchi & Belshe-1971,Maciolek & Brock-1974, , ,3-Jul-90, , ,7-3-09:3, , ,?
136,1,47134.596,11.64719434,1085.829,138,28,H28,Hawaii,Kaloko, ,BPBM 50-Ha-D13-11,1,1,0,"2, 5",F, , , , , , , , , , , , ,7-3-09:2,Class 2,N,10-27-2166?
137,1,47321.492,11.69337728,1006.096,139,25,H25,Hawaii,'Aimakapa'a, ,BPBM 50-Ha-D12-30,2,2,60,"2, 5",P,Poor,N,N, ,Apple & Kikuchi-1975,Dept. of Interior-1975,Emory-1970,Emory & Soehren-1961,Kelly-1973,2-Jul-90,A garbage dump is located up-slope of the pond and possibly,may be contaminating ground water. Mr. R.K. Greenwell re,7-4-08:10,Class 2,N,10-27-3845?
138,1,24625.755,6.085147189,1020.314,140,107,H107,Hawaii,Ha'ena,Shipman's,BPBM 50-Ha-A1-64,2,2,2.2,"2, 5",P,Unknown,N,N, ,Kikuchi-1973,Madden & Paulsen-1979,McEldowney-1979, , ,None., , ,1-6-01:1,Class AA,U,?
139,1,13864.481,3.425982578,513.995,141,110,H110,Hawaii,nameless, , ,1,2,4.3,5,P,Fair,N,N, ,Cox-1983,Kikuchi-1973, , , ,14-Jun-90,Mangrove currently encroaching on two sides of pond. Young,mangrove shoots are growing out of the wall.  The pond,1-4-02:36,Class AA,N,?
140,1,433.709,0.107171662,81.348,142,112,H112,Hawaii,Waiopae (concentration), , ,6,2,0,2,P, , , , , , , , , , , , ,"1-4-2:3,51,68various", , ,?
141,1,86.753,0.0214371,37.962,143,5,H5,Hawaii,named pond concentration, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,?
142,1,132.911,0.032842973,48.992,144,4,H4,Hawaii,Makaloa, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,?
143,1,157.037,0.038804628,47.282,145,3,H3,Hawaii,Heleipala, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,?
144,1,6191.43,1.52993331,353.032,146,115,H115,Hawaii,Waiakolea, ,BPBM 50-Ha-A21-6,2,4,0,2,S, , , , , , , , , , , , ,"1-2-03:5,6", , ,?
145,1,3706.249,0.915832659,388.256,147,116,H116,Hawaii,Kikoa, , ,1,4,0,2,S, , , , , , , , , , , , ,1-2-03:12, , ,?
146,1,4028.508,0.995464469,322.095,148,122,H122,Hawaii,nameless, , ,2,2,0,2,P, , , , , , , , , , , , ,9-5-19:12, , ,?
147,1,3080.42,0.761187184,231.138,149,124,H124,Hawaii,nameless, , ,2,2,1.5,"5, 6",P,N/A,N,N, ,Apple & Kikuchi-1975,Barrera & Hommon-1972,Kikuchi-1973,Rosendahl & Rosendahl-1987, ,22-Jun-90, , ,9-5-19:12,Class AA,N,?
148,1,15530.299,3.837614534,604.539,150,123,H123,Hawaii,Ninole,Hilo'e,BPBM 50-Ha-B9-2,1,3,4.1,"5, 6",P,Destroyed,N,N, ,Apple & Kikuchi-1975,Barrera & Hommon-1972,Kelly-1980,Kikuchi-1973,Rosendahl & Rosendahl-1987,22-Jun-90,"Close to 1 m of silt, gravel and boulders now fill the pond",basin.  Ninole Spring is still visible in the west (mauka,9-5-19:12,Class AA,N,10-68-3552?
149,1,16368.93,4.044844448,624.162,151,129,H129,Hawaii,nameless, ,BPBM 50 Ha-B13-73,1,2,10,"2, 5",P,Fair,N,N, ,Apple & Kikuchi-1975,Ayres-1970,Kelly-1980,Kikuchi-1973,MINARK-1989,22-Jun-90,"A 6.4 m concrete bridge (arched), with electrical conduits","underneath, crosses a narrow area of pond near the northeast",9-5-14:7,Class AA,N,?
150,1,1592.229,0.393447747,169.943,152,137,H137,Hawaii,Kanonone, ,BPBM 50-Ha-B23-46,2,2,0,"2, 5",P,Unknown,N,N, ,Haun & Walker-1987,Maciolek & Brock-1974,MINARK-1989, , ,Visitation denied., , ,9-2-01:72,Class 2,N,?
151,1,17743.581,4.384527583,713.446,153,132,H132,Hawaii,nameless, ,BPBM 50-Ha-B18-11,1,3,3.6,7,S,Poor,N,N, ,Hansen & Kelly-1972,MINARK-1989, , , ,19-Jun-90, , ,9-4-01:14,Class AA,N,?
152,1,471.895,0.116607614,84.839,154,133,H133,Hawaii,Lua O Palahemo, ,BPBM 50-Ha-B20-7,6,1,0,2,HHL, , , , , , , , , , , , ,9-3-01:1, , ,10-76-3610?
