
Code 	Short Name                	Long Name                                         	Hawaii Totals	    Hawaii	  Honolulu	   Kalawao	     Kauai	      Maui
34295	NBB PHTH MUD-DRY  UG/KG   	N-BUTYL BENZYL PHTHALATE,SEDIMENTS,DRY WGT,UG/KG  	           19	         4	        11	         0	         0	         4
34296	NBB PHTH TIS-WET  MG/KG   	N-BUTYL BENZYL PHTHALATE,TISSUE,WET WGT,MG/KG     	           19	         7	        11	         0	         0	         1
34297	CARBONTE TRACHLOR DISSUG/L	CARBON TETRACHLORIDE                      DISSUG/L	           27	         6	         8	         5	         6	         2
34299	CARBNTET SEDUG/KG DRY WGT 	CARBON TETRACHLORIDE               DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34300	CARBNTET TISMG/KG WET WGT 	CARBON TETRACHLORIDE               WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34301	CHLOROBE NZENE    TOTWUG/L	CHLOROBENZENE                             TOTWUG/L	           13	         4	         8	         0	         0	         1
34303	CHLOROBE NZENE    SUSPUG/L	CHLOROBENZENE                             SUSPUG/L	           24	         6	         5	         5	         6	         2
34304	CLBENZEN SEDUG/KG DRY WGT 	CHLOROBENZENE                      DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34305	CLBENZEN TISMG/KG WET WGT 	CHLOROBENZENE                      WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34306	CHLORODI BROMOMET TOTWUG/L	CHLORODIBROMOMETHANE                      TOTWUG/L	           16	         4	         2	         5	         3	         2
34309	CLDIBRMT SEDUG/KG DRY WGT 	CHLORODIBROMOMETHANE               DRY WGTBOTUG/KG	           14	         2	         8	         0	         0	         4
34310	CLDIBRMT TISMG/KG WET WGT 	CHLORODIBROMOMETHANE               WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34311	CHLOROET HANE     TOTWUG/L	CHLOROETHANE                              TOTWUG/L	           36	        10	        12	         5	         6	         3
34314	CLETHANE SEDUG/KG DRY WGT 	CHLOROETHANE                       DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34315	CLETHANE TISMG/KG WET WGT 	CHLOROETHANE                       WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34318	CHLRFORM SEDUG/KG DRY WGT 	CHLOROFORM                         DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34319	CHLRFORM TISMG/KG WET WGT 	CHLOROFORM                         WET WGTTISMG/KG	           11	         7	         4	         0	         0	         0
34320	CHRYSENE  TOTWUG/L        	CHRYSENE                                  TOTWUG/L	           23	         5	        12	         0	         2	         4
34323	CHRYSENE SEDUG/KG DRY WGT 	CHRYSENE                           DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34324	CHRYSENE TISMG/KG WET WGT 	CHRYSENE                           WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34328	DICHLORO BROMOMET DISSUG/L	DICHLOROBROMOMETHANE                      DISSUG/L	            3	         0	         0	         0	         2	         1
34330	DICLBRMT SEDUG/KG DRY WGT 	DICHLOROBROMOMETHANE               DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34331	DICLBRMT TISMG/KG WET WGT 	DICHLOROBROMOMETHANE               WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34335	DCLDFLMT TISMG/KG WET WGT 	DICHLORODIFLUOROMETHANE            WET WGTTISMG/KG	            1	         1	         0	         0	         0	         0
34336	DIETHYLP HTHALATE TOTWUG/L	DIETHYL PHTHALATE                         TOTWUG/L	           27	         9	        12	         0	         2	         4
34339	DETHPHTH SEDUG/KG DRY WGT 	DIETHYL PHTHALATE                  DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34340	DETHPHTH TISMG/KG WET WGT 	DIETHYL PHTHALATE                  WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34341	DIMETHYL PHTHALAT TOTWUG/L	DIMETHYL PHTHALATE                        TOTWUG/L	           23	         5	        12	         0	         2	         4
34344	DMETPHTH SEDUG/KG DRY WGT 	DIMETHYL PHTHALATE                 DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34345	DMETPHTH TISMG/KG WET WGT 	DIMETHYL PHTHALATE                 WET WGTTISMG/KG	           18	         7	        10	         0	         0	         1
34346	12DIPHEN YLHYDRAZ TOTWUG/L	1,2-DIPHENYLHYDRAZINE                     TOTWUG/L	           17	         5	         9	         0	         0	         3
34349	12DPHNHY SEDUG/KG DRY WGT 	1,2-DIPHENYLHYDRAZINE              DRY WGTBOTUG/KG	           16	         4	         8	         0	         0	         4
34350	12DPHNHY TISMG/KG WET WGT 	1,2-DIPHENYLHYDRAZINE              WET WGTTISMG/KG	           16	         7	         8	         0	         0	         1
34351	ENDSULSF  TOTUG/L         	ENDOSULFAN SULFATE                        TOTWUG/L	           20	         5	        12	         0	         0	         3
34354	ENDSULSF SEDUG/KG DRY WGT 	ENDOSULFAN SULFATE                 DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34355	ENDSULSF TISMG/KG WET WGT 	ENDOSULFAN SULFATE                 WET WGTTISMG/KG	           20	         8	        11	         0	         0	         1
34356	B-ENDO   SULFAN   TOTWUG/L	ENDOSULFAN, BETA                          TOTWUG/L	           22	         5	        14	         0	         0	         3
34359	BENDOSUL SEDUG/KG DRY WGT 	ENDOSULFAN, BETA                   DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34360	BENDOSUL TISMG/KG WET WGT 	ENDOSULFAN, BETA                   WET WGTTISMG/KG	           15	         7	         7	         0	         0	         1
34361	A-ENDO   SULFAN   TOTWUG/L	ENDOSULFAN, ALPHA                         TOTWUG/L	           20	         5	        12	         0	         0	         3
34364	AENDOSUL SEDUG/KG DRY WGT 	ENDOSULFAN, ALPHA                  DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34365	AENDOSUL TISMG/KG WET WGT 	ENDOSULFAN, ALPHA                  WET WGTTISMG/KG	           23	        10	        12	         0	         0	         1
34366	ENDRINAL DEHYDE   TOTWUG/L	ENDRIN ALDEHYDE                           TOTWUG/L	           25	         7	        13	         0	         0	         5
34369	ENDRINAL SEDUG/KG DRY WGT 	ENDRIN ALDEHYDE                    DRY WGTBOTUG/KG	            5	         2	         2	         0	         0	         1
34370	ENDRINAL TISMG/KG WET WGT 	ENDRIN ALDEHYDE                    WET WGTTISMG/KG	           13	         5	         7	         0	         0	         1
34371	ETHYLBEN ZENE     TOTWUG/L	ETHYLBENZENE                              TOTWUG/L	           12	         4	         7	         0	         0	         1
34374	ETHYLBEN SEDUG/KG DRY WGT 	ETHYLBENZENE                       DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34375	ETHYLBEN TISMG/KG WET WGT 	ETHYLBENZENE                       WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34376	FLUORANT HENE     TOTWUG/L	FLUORANTHENE                              TOTWUG/L	           23	         5	        12	         0	         2	         4
34379	FLANTENE SEDUG/KG DRY WGT 	FLUORANTHENE                       DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34380	FLANTENE TISMG/KG WET WGT 	FLUORANTHENE                       WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34381	FLUORENE  TOTWUG/L        	FLUORENE                                  TOTWUG/L	           20	         5	         9	         0	         2	         4
34384	FLUORENE SEDUG/KG DRY WGT 	FLUORENE                           DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34385	FLUORENE TISMG/KG WET WGT 	FLUORENE                           WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34386	HEXACHLO ROCYCLOP TOTWUG/L	HEXACHLOROCYCLOPENTADIENE                 TOTWUG/L	           23	         5	        12	         0	         2	         4
34389	HEXCLCPD SEDUG/KG DRY WGT 	HEXACHLOROCYCLOPENTADIENE          DRY WGTBOTUG/KG	            8	         1	         6	         0	         0	         1
34390	HEXCLCPD TISMG/KG WET WGT 	HEXACHLOROCYCLOPENTADIENE          WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34391	HEXACHLO ROBUTADI TOTWUG/L	HEXACHLOROBUTADIENE                       TOTWUG/L	           10	         1	         5	         0	         2	         2
34395	HEXCLBD  TISMG/KG WET WGT 	HEXACHLOROBUTADIENE                WET WGTTISMG/KG	           22	         8	        13	         0	         0	         1
34396	HEXACHLO ROETHANE TOTWUG/L	HEXACHLOROETHANE                          TOTWUG/L	           23	         5	        12	         0	         2	         4
34399	HEXACLET SEDUG/KG DRY WGT 	HEXACHLOROETHANE                   DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34400	HEXACLET TISMG/KG WET WGT 	HEXACHLOROETHANE                   WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34403	INDENO(1 23CD)PYR TOTWUG/L	INDENO (1,2,3-CD) PYRENE                  TOTWUG/L	           23	         5	        12	         0	         2	         4
34406	I123CDPR SEDUG/KG DRY WGT 	INDENO (1,2,3-CD) PYRENE           DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34407	I123CDPR TISMG/KG WET WGT 	INDENO (1,2,3-CD) PYRENE           WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34408	ISPHRONE  TOTUG/L         	ISOPHORONE                                TOTWUG/L	           23	         5	        12	         0	         2	         4
34411	ISPHRONE SEDUG/KG DRY WGT 	ISOPHORONE                         DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34412	ISPHRONE TISMG/KG WET WGT 	ISOPHORONE                         WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34413	METHYLBR OMIDE    TOTWUG/L	METHYL BROMIDE                            TOTWUG/L	           37	        10	        13	         5	         6	         3
34416	METHYLBR SEDUG/KG DRY WGT 	METHYL BROMIDE                     DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34417	METHYLBR TISMG/KG WET WGT 	METHYL BROMIDE                     WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34418	METHYLCH LORIDE   TOTWUG/L	METHYL CHLORIDE                           TOTWUG/L	           34	        10	        13	         5	         4	         2
34420	METHYLCH LORIDE   SUSPUG/L	METHYL CHLORIDE                           SUSPUG/L	            3	         0	         3	         0	         0	         0
34421	METHYLCL SEDUG/KG DRY WGT 	METHYL CHLORIDE                    DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34422	METHYLCL TISMG/KG WET WGT 	METHYL CHLORIDE                    WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34423	METHYLEN ECHLORID TOTWUG/L	METHYLENE CHLORIDE                        TOTWUG/L	           29	         8	        10	         5	         3	         3
34426	MTHLENCL SEDUG/KG DRY WGT 	METHYLENE CHLORIDE                 DRY WGTBOTUG/KG	           13	         3	         6	         0	         0	         4
34427	MTHLENCL TISMG/KG WET WGT 	METHYLENE CHLORIDE                 WET WGTTISMG/KG	           11	         6	         5	         0	         0	         0
34428	NITROSOD IPROPYLA TOTWUG/L	N-NITROSODI-N-PROPYLAMINE                 TOTWUG/L	           23	         5	        12	         0	         2	         4
34431	NITDNPRA SEDUG/KG DRY WGT 	N-NITROSODI-N-PROPYLAMINE          DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34432	NITDNPRA TISMG/KG WET WGT 	N-NITROSODI-N-PROPYLAMINE          WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34433	NITROSOD IPHENYLA TOTWUG/L	N-NITROSODIPHENYLAMINE                    TOTWUG/L	           23	         5	        12	         0	         2	         4
34436	NITRSDPA SEDUG/KG DRY WGT 	N-NITROSODIPHENYLAMINE             DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34437	NITRSDPA TISMG/KG WET WGT 	N-NITROSODIPHENYLAMINE             WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34438	NITROSOD IMETHYLA TOTWUG/L	N-NITROSODIMETHYLAMINE                    TOTWUG/L	           20	         5	         9	         0	         2	         4
34441	NITRSDMA SEDUG/KG DRY WGT 	N-NITROSODIMETHYLAMINE             DRY WGTBOTUG/KG	           16	         4	         8	         0	         0	         4
34442	NITRSDMA TISMG/KG WET WGT 	N-NITROSODIMETHYLAMINE             WET WGTTISMG/KG	            4	         1	         3	         0	         0	         0
34445	NAPTHALE SEDUG/KG DRY WGT 	NAPHTHALENE                        DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34446	NAPTHALE TISMG/KG WET WGT 	NAPHTHALENE                        WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34447	NITROBEN ZENE     TOTWUG/L	NITROBENZENE                              TOTWUG/L	           22	         5	        12	         0	         2	         3
34450	NITROBEN SEDUG/KG DRY WGT 	NITROBENZENE                       DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34451	NITROBEN TISMG/KG WET WGT 	NITROBENZENE                       WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34452	PARACHLO ROMETACR TOTWUG/L	PARACHLOROMETA CRESOL                     TOTWUG/L	           20	         5	         9	         0	         2	         4
34455	PCLMCRES SEDUG/KG DRY WGT 	PARACHLOROMETA CRESOL              DRY WGTBOTUG/KG	           15	         4	         7	         0	         0	         4
34456	PCLMCRES TISMG/KG WET WGT 	PARACHLOROMETA CRESOL              WET WGTTISMG/KG	           16	         7	         8	         0	         0	         1
34461	PHENANTH RENE     TOTWUG/L	PHENANTHRENE                              TOTWUG/L	           23	         5	        12	         0	         2	         4
34464	PHENANTH SEDUG/KG DRY WGT 	PHENANTHRENE                       DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34465	PHENANTH TISMG/KG WET WGT 	PHENANTHRENE                       WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34468	PHENOL   TISMG/KG WET WGT 	PHENOL                             WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34469	PYRENE    TOTWUG/L        	PYRENE                                    TOTWUG/L	           23	         5	        12	         0	         2	         4
34472	PYRENE   SEDUG/KG DRY WGT 	PYRENE                             DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34473	PYRENE   TISMG/KG WET WGT 	PYRENE                             WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34474	SILVER   TISMG/KG WET WGT 	SILVER                             WET WGTTISMG/KG	           18	         6	        12	         0	         0	         0
34475	TETRACHL OROETHYL TOTWUG/L	TETRACHLOROETHYLENE                       TOTWUG/L	           96	        22	        49	         8	         8	         9
34478	TETCLETE SEDUG/KG DRY WGT 	TETRACHLOROETHYLENE                DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34479	TETCLETE TISMG/KG WET WGT 	TETRACHLOROETHYLENE                WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34480	THALLIUM SEDMG/KG DRY WGT 	THALLIUM                           DRY WGTBOTMG/KG	           15	         4	         8	         0	         0	         3
34483	TOLUENE  SEDUG/KG DRY WGT 	TOLUENE                            DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34484	TOLUENE  TISMG/KG WET WGT 	TOLUENE                            WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34485	TRICHLOR OETHYLEN DISSUG/L	TRICHLOROETHYLENE                         DISSUG/L	           71	        17	        31	         8	         9	         6
34487	TRICLETE SEDUG/KG DRY WGT 	TRICHLOROETHYLENE                  DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34488	TRICHLOR OFLUOROM TOTWUG/L	TRICHLOROFLUOROMETHANE                    TOTWUG/L	            7	         3	         3	         0	         0	         1
34491	TRCLFLMT SEDUG/KG DRY WGT 	TRICHLOROFLUOROMETHANE             DRY WGTBOTUG/KG	            9	         1	         4	         0	         0	         4
34492	TRCLFLMT TISMG/KG WET WGT 	TRICHLOROFLUOROMETHANE             WET WGTTISMG/KG	            5	         2	         3	         0	         0	         0
34495	VINYLCHL SEDUG/KG DRY WGT 	VINYL CHLORIDE                     DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34496	11DICHLO ROETHANE TOTWUG/L	1,1-DICHLOROETHANE                        TOTWUG/L	           13	         4	         8	         0	         0	         1
34497	11DICHLO ROETHANE DISSUG/L	1,1-DICHLOROETHANE                        DISSUG/L	           25	         6	         6	         5	         6	         2
34499	11DICLET SEDUG/KG DRY WGT 	1,1-DICHLOROETHANE                 DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34500	11DICLET TISMG/KG WET WGT 	1,1-DICHLOROETHANE                 WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34501	11DICHLO ROETHYLE TOTWUG/L	1,1-DICHLOROETHYLENE                      TOTWUG/L	           38	        10	        14	         5	         6	         3
34504	11DCETEN SEDUG/KG DRY WGT 	1,1-DICHLOROETHYLENE               DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34505	11DCETEN TISMG/KG WET WGT 	1,1-DICHLOROETHYLENE               WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34506	111TRICH LOROETHA TOTWUG/L	1,1,1-TRICHLOROETHANE                     TOTWUG/L	           38	        10	        14	         5	         6	         3
34509	111TCLET SEDUG/KG DRY WGT 	1,1,1-TRICHLOROETHANE              DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34510	111TCLET TISMG/KG WET WGT 	1,1,1-TRICHLOROETHANE              WET WGTTISMG/KG	           15	         8	         7	         0	         0	         0
34511	112TRICH LOROETHA TOTWUG/L	1,1,2-TRICHLOROETHANE                     TOTWUG/L	           37	        10	        13	         5	         6	         3
34514	112TCLET SEDUG/KG DRY WGT 	1,1,2-TRICHLOROETHANE              DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34515	112TCLET TISMG/KG WET WGT 	1,1,2-TRICHLOROETHANE              WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34516	1122TETR ACHLOROE TOTWUG/L	1,1,2,2-TETRACHLOROETHANE                 TOTWUG/L	           12	         3	         8	         0	         0	         1
34517	1122TETR ACHLOROE DISSUG/L	1,1,2,2-TETRACHLOROETHANE                 DISSUG/L	           24	         6	         5	         5	         6	         2
34519	1122TCLE SEDUG/KG DRY WGT 	1,1,2,2-TETRACHLOROETHANE          DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34520	1122TCLE TISMG/KG WET WGT 	1,1,2,2-TETRACHLOROETHANE          WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34521	BENZO(GH I)PERYLE TOTWUG/L	BENZO(GHI)PERYLENE1,12-BENZOPERYLENE      TOTWUG/L	           23	         5	        12	         0	         2	         4
34524	BZGHIPER SEDUG/KG DRY WGT 	BENZO(GHI)PERYLENE1,12-BENZOPERYLENDRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34525	BZGHIPER TISMG/KG WET WGT 	BENZO(GHI)PERYLENE1,12-BENZOPERYLENWET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34526	BENZO(A) ANTHRACE TOTWUG/L	BENZO(A)ANTHRACENE1,2-BENZANTHRACENE      TOTWUG/L	           20	         5	        12	         0	         0	         3
34527	BENZO(A) ANTHRACE DISSUG/L	BENZO(A)ANTHRACENE1,2-BENZANTHRACENE      DISSUG/L	            3	         0	         0	         0	         2	         1
34529	BENZAANT SEDUG/KG DRY WGT 	BENZO(A)ANTHRACENE1,2-BENZANTHRACENDRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34530	BENZAANT TISMG/KG WET WGT 	BENZO(A)ANTHRACENE1,2-BENZANTHRACENWET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34532	12DICHLO ROETHANE DISSUG/L	1,2-DICHLOROETHANE                        DISSUG/L	           25	         6	         6	         5	         6	         2
34534	12DICLET SEDUG/KG DRY WGT 	1,2-DICHLOROETHANE                 DRY WGTBOTUG/KG	           14	         3	         7	         0	         0	         4
34535	12DICLET TISMG/KG WET WGT 	1,2-DICHLOROETHANE                 WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34536	12DICHLO ROBENZEN TOTWUG/L	1,2-DICHLOROBENZENE                       TOTWUG/L	           20	         5	        12	         0	         0	         3
34537	12DICHLO ROBENZEN DISSUG/L	1,2-DICHLOROBENZENE                       DISSUG/L	           16	         4	         2	         5	         3	         2
34539	12DCLBEN SEDUG/KG DRY WGT 	1,2-DICHLOROBENZENE                DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34540	12DCLBEN TISMG/KG WET WGT 	1,2-DICHLOROBENZENE                WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34541	12DICHLO ROPROPAN TOTWUG/L	1,2-DICHLOROPROPANE                       TOTWUG/L	           37	        10	        13	         5	         6	         3
34544	12DCLPRP SEDUG/KG DRY WGT 	1,2-DICHLOROPROPANE                DRY WGTBOTUG/KG	           15	         3	         8	         0	         0	         4
34545	12DCLPRP TISMG/KG WET WGT 	1,2-DICHLOROPROPANE                WET WGTTISMG/KG	           14	         7	         7	         0	         0	         0
34546	12DICHLO ROETHENE TOTWUG/L	TRANS-1,2-DICHLOROETHENE, TOTAL, IN WATER     UG/L	           29	         8	        10	         5	         3	         3
34549	12TDCETE SEDUG/KG DRY WGT 	TRANS-1,2-DICHLOROETHENE, IN SED. DRY WT.    UG/KG	           15	         3	         8	         0	         0	         4
34550	12TDCETE TISMG/KG WET WGT 	TRANS-1,2-DICHLOROETHENE, IN TISSUE, WET WT. MG/KG	           14	         7	         7	         0	         0	         0
34551	124TRICH LOROBENZ TOTWUG/L	1,2,4-TRICHLOROBENZENE                    TOTWUG/L	           23	         5	        12	         0	         2	         4
34554	124TCBEN SEDUG/KG DRY WGT 	1,2,4-TRICHLOROBENZENE             DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34555	124TCBEN TISMG/KG WET WGT 	1,2,4-TRICHLOROBENZENE             WET WGTTISMG/KG	           22	         8	        13	         0	         0	         1
34556	DIBENZ(A H)ANTHRA TOTWUG/L	1,2,5,6-DIBENZANTHRACENE                  TOTWUG/L	           20	         5	        12	         0	         0	         3
34557	DIBENZ(A H)ANTHRA DISSUG/L	1,2,5,6-DIBENZANTHRACENE                  DISSUG/L	            3	         0	         0	         0	         2	         1
34559	DBAHANTH SEDUG/KG DRY WGT 	1,2,5,6-DIBENZANTHRACENE           DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34560	DBAHANTH TISMG/KG WET WGT 	1,2,5,6-DIBENZANTHRACENE           WET WGTTISMG/KG	           16	         7	         8	         0	         0	         1
34561	13DICHLO ROPROPEN TOTWUG/L	1,3-DICHLOROPROPENE                       TOTWUG/L	           11	         3	         7	         0	         0	         1
34564	13DCPRPE SEDUG/KG DRY WGT 	1,3-DICHLOROPROPENE                DRY WGTBOTUG/KG	           11	         2	         6	         0	         0	         3
34565	13DCPRPE TISMG/KG WET WGT 	1,3-DICHLOROPROPENE                WET WGTTISMG/KG	           11	         7	         4	         0	         0	         0
34566	13DICHLO ROBENZEN TOTWUG/L	1,3-DICHLOROBENZENE                       TOTWUG/L	           44	        11	        17	         5	         6	         5
34569	13DCLBEN SEDUG/KG DRY WGT 	1,3-DICHLOROBENZENE                DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34570	13DCLBEN TISMG/KG WET WGT 	1,3-DICHLOROBENZENE                WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34571	14DICHLO ROBENZEN TOTWUG/L	1,4-DICHLOROBENZENE                       TOTWUG/L	           36	         9	        14	         5	         3	         5
34574	14DCLBEN SEDUG/KG DRY WGT 	1,4-DICHLOROBENZENE                DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34575	14DCLBEN TISMG/KG WET WGT 	1,4-DICHLOROBENZENE                WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34576	2CHLOROE THYLVINY TOTWUG/L	2-CHLOROETHYL VINYL ETHER                 TOTWUG/L	           27	         8	         8	         5	         3	         3
34579	2CLEVETR SEDUG/KG DRY WGT 	2-CHLOROETHYL VINYL ETHER          DRY WGTBOTUG/KG	           13	         3	         6	         0	         0	         4
34580	2CLEVETR TISMG/KG WET WGT 	2-CHLOROETHYL VINYL ETHER          WET WGTTISMG/KG	           11	         7	         4	         0	         0	         0
34581	2CHLORON APHTHALE TOTWUG/L	2-CHLORONAPHTHALENE                       TOTWUG/L	           21	         4	        12	         0	         2	         3
34584	2CLNAPTH SEDUG/KG DRY WGT 	2-CHLORONAPHTHALENE                DRY WGTBOTUG/KG	            8	         1	         6	         0	         0	         1
34585	2CLNAPTH TISMG/KG WET WGT 	2-CHLORONAPHTHALENE                WET WGTTISMG/KG	           30	        10	        16	         0	         0	         4
34586	2CHLOROP HENOL    TOTWUG/L	2-CHLOROPHENOL                            TOTWUG/L	           23	         5	        12	         0	         2	         4
34589	2CLPHENO SEDUG/KG DRY WGT 	2-CHLOROPHENOL                     DRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34590	2CLPHENO TISMG/KG WET WGT 	2-CHLOROPHENOL                     WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34591	2NITROPH ENOL     TOTWUG/L	2-NITROPHENOL                             TOTWUG/L	           23	         5	        12	         0	         2	         4
34594	2NPHENOL SEDUG/KG DRY WGT 	2-NITROPHENOL                      DRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34595	2NPHENOL TISMG/KG WET WGT 	2-NITROPHENOL                      WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34596	DINOCTPH  TOTUG/L         	DI-N-OCTYL PHTHALATE                      TOTWUG/L	           23	         5	        12	         0	         2	         4
34599	DINOCTPH SEDUG/KG DRY WGT 	DI-N-OCTYL PHTHALATE               DRY WGTBOTUG/KG	           19	         4	        11	         0	         0	         4
34600	DINOCTPH TISMG/KG WET WGT 	DI-N-OCTYL PHTHALATE               WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34601	24DICHLO ROPHENOL TOTWUG/L	2,4-DICHLOROPHENOL                        TOTWUG/L	           23	         5	        12	         0	         2	         4
34604	24DCPHEN SEDUG/KG DRY WGT 	2,4-DICHLOROPHENOL                 DRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34605	24DCPHEN TISMG/KG WET WGT 	2,4-DICHLOROPHENOL                 WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34606	24DIMETH YLPHENOL TOTWUG/L	2,4-DIMETHYLPHENOL                        TOTWUG/L	           23	         5	        12	         0	         2	         4
34609	24DMPHEN SEDUG/KG DRY WGT 	2,4-DIMETHYLPHENOL                 DRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34610	24DMPHEN TISMG/KG WET WGT 	2,4-DIMETHYLPHENOL                 WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34611	24DINITR OTOLUENE TOTWUG/L	2,4-DINITROTOLUENE                        TOTWUG/L	           23	         5	        12	         0	         2	         4
34614	24DNTOLU SEDUG/KG DRY WGT 	2,4-DINITROTOLUENE                 DRY WGTBOTUG/KG	           19	         5	        10	         0	         0	         4
34615	24DNTOLU TISMG/KG WET WGT 	2,4-DINITROTOLUENE                 WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34616	24DINITR OPHENOL  TOTWUG/L	2,4-DINITROPHENOL                         TOTWUG/L	           20	         5	        12	         0	         0	         3
34619	24DNPHEN SEDUG/KG DRY WGT 	2,4-DINITROPHENOL                  DRY WGTBOTUG/KG	           18	         4	        10	         0	         0	         4
34620	24DNPHEN TISMG/KG WET WGT 	2,4-DINITROPHENOL                  WET WGTTISMG/KG	           19	         7	        11	         0	         0	         1
34621	246TRICH LOROPHEN TOTWUG/L	2,4,6-TRICHLOROPHENOL                     TOTWUG/L	           23	         5	        12	         0	         2	         4
